"PROVINCE","DISTRICT","Cluster","HI04","HI05","TYPEHH","HH_WT","F11","F12","F13","F14","F15","F16","hhid","camp","ref_weight"
1,12,22,1,12,1,362.0222,2,0,,,,,122201201,,
1,12,22,1,13,1,16.4555545454545,7,0,,,,,122201301,,
1,12,22,1,14,1,362.0222,3,0,,,,,122201401,,
1,12,22,1,15,1,362.0222,7,0,,,,,122201501,,
1,12,22,1,16,1,362.0222,6,0,,,,,122201601,,
1,12,22,1,17,1,362.0222,7,0,,,,,122201701,,
1,12,22,1,18,1,362.0222,1,0,,,,,122201801,,
1,12,23,1,1,1,451.1577,2,0,,,,,122300101,,
1,12,23,1,2,1,451.1577,5,0,,,,,122300201,,
1,12,23,1,3,1,30.07718,7,0,,,,,122300301,,
1,12,23,1,4,1,30.07718,7,0,,,,,122300401,,
1,12,23,1,5,1,30.07718,5,0,,,,,122300501,,
1,12,23,1,6,1,451.1577,2,0,,,,,122300601,,
1,12,23,1,7,1,451.1577,6,0,,,,,122300701,,
1,12,23,1,8,1,451.1577,6,0,,,,,122300801,,
1,12,23,1,9,1,451.1577,7,0,,,,,122300901,,
1,12,23,1,10,1,451.1577,3,0,,,,,122301001,,
1,12,23,1,11,1,451.1577,4,0,,,,,122301101,,
1,12,23,1,12,1,30.07718,6,0,,,,,122301201,,
1,12,23,1,13,1,30.07718,5,0,,,,,122301301,,
1,12,23,1,14,1,30.07718,2,0,,,,,122301401,,
1,12,23,1,15,1,451.1577,7,0,,,,,122301501,,
1,12,23,1,16,1,451.1577,3,0,,,,,122301601,,
1,12,23,1,17,1,451.1577,7,0,,,,,122301701,,
1,12,23,1,18,1,30.07718,3,0,,,,,122301801,,
1,12,24,1,1,1,410.6768,1,0,,,,,122400101,,
1,12,24,1,2,1,410.6768,2,0,,,,,122400201,,
1,12,24,1,3,1,410.6768,1,1,1,14,500,,122400301,,
1,12,24,1,4,1,410.6768,1,0,,,,,122400401,,
1,12,24,1,5,1,410.6768,2,0,,,,,122400501,,
1,12,24,1,6,1,410.6768,3,0,,,,,122400601,,
1,12,24,1,7,1,410.6768,6,0,,,,,122400701,,
1,12,24,1,8,1,410.6768,7,0,,,,,122400801,,
1,12,24,1,9,1,410.6768,6,0,,,,,122400901,,
1,12,24,1,10,1,410.6768,7,0,,,,,122401001,,
1,12,24,1,11,1,410.6768,5,0,,,,,122401101,,
1,12,24,1,12,1,410.6768,5,0,,,,,122401201,,
1,12,24,1,13,1,410.6768,2,0,,,,,122401301,,
1,12,24,1,14,1,410.6768,5,0,,,,,122401401,,
1,12,24,1,15,1,410.6768,3,0,,,,,122401501,,
1,12,24,1,16,1,410.6768,7,0,,,,,122401601,,
1,12,24,1,18,1,410.6768,6,0,,,,,122401801,,
1,12,24,1,19,1,410.6768,2,0,,,,,122401901,,
1,12,25,1,1,1,325.5321,3,0,,,,,122500101,,
1,12,25,1,2,1,325.5321,3,0,,,,,122500201,,
1,12,25,1,3,1,325.5321,6,0,,,,,122500301,,
1,12,25,1,4,1,325.5321,3,0,,,,,122500401,,
