"Cluster","CO_ID","CI01","CI02","CI06","CI07","CI08","CO_F01","CO_F01_YON","CO_F02","CO_F02B","CO_F02_OTHER","CO_F03","CO_F04","CO_F05","CO_F06","Basicweight"
27,26,1,2,1,1,1,1,1,1,,,1635,1,1450,1500,4.12082943262411
27,26,1,2,1,1,1,5,1,5,8,,1300,1,1200,1300,4.12082943262411
27,26,1,2,1,1,1,2,0,,,,,,,,4.12082943262411
28,27,1,2,1,1,4,2,0,,,,,,,,11.2538897515528
28,27,1,2,1,1,4,4,1,3,,,142,0,,,11.2538897515528
28,27,1,2,1,1,4,5,1,5,8,,1150,1,1080,1100,11.2538897515528
28,27,1,2,1,1,4,12,0,,,,,,,,11.2538897515528
28,27,1,2,1,1,4,8,0,,,,,,,,11.2538897515528
28,27,1,2,1,1,4,6,1,7,1.5,,350,1,250,300,11.2538897515528
28,27,1,2,1,1,4,11,0,,,,,,,,11.2538897515528
28,27,1,2,1,1,4,9,0,,,,,,,,11.2538897515528
28,27,1,2,1,1,4,7,0,,,,,,,,11.2538897515528
28,27,1,2,1,1,4,13,0,,,,,,,,11.2538897515528
28,27,1,2,1,1,4,1,1,1,,,1250,1,1200,1300,11.2538897515528
28,27,1,2,1,1,4,10,0,,,,,,,,11.2538897515528
28,27,1,2,1,1,4,3,1,4,,,888,0,,,11.2538897515528
29,28,1,2,1,1,1,8,0,,,,,,,,65.775825
29,28,1,2,1,1,1,9,0,,,,,,,,65.775825
29,28,1,2,1,1,1,4,0,,,,,,,,65.775825
29,28,1,2,1,1,1,3,1,4,,,888,0,,,65.775825
29,28,1,2,1,1,1,2,0,,,,,,,,65.775825
29,28,1,2,1,1,1,11,0,,,,,,,,65.775825
29,28,1,2,1,1,1,1,1,1,,,1666,1,1350,1500,65.775825
29,28,1,2,1,1,1,10,0,,,,,,,,65.775825
29,28,1,2,1,1,1,7,0,,,,,,,,65.775825
29,28,1,2,1,1,1,5,1,5,5,,900,1,780,850,65.775825
29,28,1,2,1,1,1,13,0,,,,,,,,65.775825
29,28,1,2,1,1,1,6,1,8,33,,12000,1,11000,11500,65.775825
29,28,1,2,1,1,1,12,0,,,,,,,,65.775825
30,29,1,2,2,1,1,2,0,,,,,,,,27.3053669724771
30,29,1,2,2,1,1,9,0,,,,,,,,27.3053669724771
30,29,1,2,2,1,1,5,1,5,6,,1000,0,,,27.3053669724771
30,29,1,2,2,1,1,4,1,3,,,250,0,,,27.3053669724771
30,29,1,2,2,1,1,8,0,,,,,,,,27.3053669724771
30,29,1,2,2,1,1,1,1,1,,,1700,1,1550,1700,27.3053669724771
30,29,1,2,2,1,1,6,1,1,,,400,1,330,380,27.3053669724771
30,29,1,2,2,1,1,12,0,,,,,,,,27.3053669724771
30,29,1,2,2,1,1,13,0,,,,,,,,27.3053669724771
30,29,1,2,2,1,1,11,0,,,,,,,,27.3053669724771
30,29,1,2,2,1,1,10,0,,,,,,,,27.3053669724771
30,29,1,2,2,1,1,7,0,,,,,,,,27.3053669724771
30,29,1,2,2,1,1,3,1,4,,,888,0,,,27.3053669724771
31,30,1,2,1,1,1,12,0,,,,,,,,7.984714375
31,30,1,2,1,1,1,9,0,,,,,,,,7.984714375
31,30,1,2,1,1,1,8,0,,,,,,,,7.984714375
31,30,1,2,1,1,1,5,1,555,0,19,0,0,,,7.984714375
31,30,1,2,1,1,1,2,0,,,,,,,,7.984714375
31,30,1,2,1,1,1,11,0,,,,,,,,7.984714375
31,30,1,2,1,1,1,6,1,8,33,,11000,1,10000,10500,7.984714375
31,30,1,2,1,1,1,13,0,,,,,,,,7.984714375
31,30,1,2,1,1,1,4,0,,,,,,,,7.984714375
31,30,1,2,1,1,1,10,0,,,,,,,,7.984714375
31,30,1,2,1,1,1,3,1,4,,,888,0,,,7.984714375
31,30,1,2,1,1,1,1,1,1,,,1666,1,1350,1400,7.984714375
31,30,1,2,1,1,1,7,0,,,,,,,,7.984714375
