"Cluster","CO_ID","CI01","CI02","CI06","CI07","CI08","CO_B01","CO_B02","CO_B03","CO_B05","CO_B06","CO_B07","CO_B07B","CO_B07_OTHER","Basicweight"
40,39,1,3,1,1,1,2,"11:40","08/06/2022",2,45,11,8,,46.9627568421053
41,40,1,3,1,1,1,1,"09:45","09/06/2022",2,62,11,999,,43.053996
42,41,1,3,1,1,1,3,"09:16","10/06/2022",1,40,3,999,,23.9960368421053
42,41,1,3,1,1,1,5,"09:17","10/06/2022",2,52,11,999,,23.9960368421053
42,41,1,3,1,1,1,4,"09:16","10/06/2022",2,60,6,999,,23.9960368421053
42,41,1,3,1,1,1,2,"09:15","10/06/2022",1,37,11,999,,23.9960368421053
42,41,1,3,1,1,1,1,"09:14","10/06/2022",1,49,1,999,,23.9960368421053
43,42,1,3,1,1,1,4,"12:59","09/06/2022",2,33,6,999,,27.0597727969349
43,42,1,3,1,1,1,3,"12:58","09/06/2022",1,48,3,999,,27.0597727969349
43,42,1,3,1,1,1,2,"12:57","09/06/2022",2,53,2,999,,27.0597727969349
43,42,1,3,1,1,1,1,"12:56","09/06/2022",1,52,1,999,,27.0597727969349
45,43,1,3,1,1,1,1,"11:56","08/06/2022",1,35,3,999,,17.1043262068966
45,43,1,3,1,1,1,6,"12:03","08/06/2022",2,55,11,999,,17.1043262068966
45,43,1,3,1,1,1,3,"11:58","08/06/2022",1,38,4,999,,17.1043262068966
