"PROVINCE","DISTRICT","Cluster","HI04","HI05","TYPEHH","HH_WT","G01","G02","G02A","G02B","G28","G29","G30","G31","G32","G33","G34","G35A","G35B","G36A","G36B","G37A","G37B","G38","G39","G40","G41","G42","G43","G44","G45","G46","G47","G48","G48_AREA_OTHER","G49_SQUARE","G49_L","G49_W","G49_CERCLE","G50","G51","G52","G53","G54","G54_OTHER","G55_1","G55_2","G55_3","G55_4","G55_5","G55_6","G55_7","G55_8","G55_9","G55_10","G55_OTHER","hhid","camp","ref_weight"
1,11,7,1,15,1,191.7855,"02",360,1,1,5,5,2,5,2,5,5,1,0,1,1,0,,1,1,1,1,4,1,4,1,0,,,,,,,,,,,,4,,,,,,,,,,,," ",110701501,,
1,11,7,1,16,1,191.7855,"01",160,1,2,,,,,,,,0,,0,,0,,2,1,2,2,3,2,2,2,0,,,,,,,,,,,,6,,,,,,,,,,,," ",110701601,,
1,11,7,1,17,1,191.7855,"01",60,1,1,,,,,,,,0,,0,,0,,2,3,4,2,4,2,3,4,0,,,,,,,,,,,,4,,,,,,,,,,,," ",110701701,,
1,11,7,1,18,1,191.7855,"02",120,1,2,,,,,,,,0,,0,,0,,2,2,1,2,3,2,4,2,1,1,1,,2,,,,1,6,2,1,1,,,,,,,,,,,," ",110701801,,
1,11,8,1,1,1,709.7715,"02",120,1,2,,,,,,,,0,,1,0,0,,5,4,2,888,2,2,5,888,1,1,1,,2,,,,1,3,3,1,1,,,,,,,,,,,," ",110800101,,
1,11,8,1,2,1,709.7715,"04",300,1,2,,,,,,,,0,,1,3,0,,2,1,3,2,5,2,5,2,1,1,1,,2,,,,1,2,1,1,2,,,,,,,,,,,," ",110800201,,
1,11,8,1,3,1,709.7715,"01",120,1,2,,,,,,,,0,,0,,0,,2,2,888,888,4,888,5,888,1,1,1,,3,,,,1,3,2,0,2,,,,,,,,,,,," ",110800301,,
1,11,8,1,4,1,709.7715,"02",240,1,1,,,,,,,,0,,0,,0,,2,4,1,2,5,1,2,1,0,,,,,,,,,,,,4,,,,,,,,,,,," ",110800401,,
1,11,8,1,5,1,709.7715,"01",180,1,1,5,5,3,5,3,5,5,0,,1,0,1,4,1,1,2,1,2,1,2,1,1,1,2,,,2,2,,1,3,1,1,4,,,,,,,,,,,," ",110800501,,
1,11,8,1,6,1,709.7715,"04",180,1,2,2,2,2,5,2,2,5,0,,1,0,1,4,1,1,1,4,1,1,5,2,0,,,,,,,,,,,,2,,,,,,,,,,,," ",110800601,,
