"Cluster","HI05","HH_WT","PROVINCE","DISTRICT","HI04","TYPEHH","C128","C135_6","C135_Other","C144","C144_OTHER","C149A","C149B","C149_OTHER","C129","C130","C131","C132","C133","C134","C135_1","C135_2","C135_3","C135_4","C135_5","C136","C137_1","C137_2","C137_3","C137_4","C137_5","C137_6","C138","C139","C140","C141","C142","C143","C145","C146","C147","C148","C150","C151","hhid","camp","ref_weight"
83,5,1305.621,2,24,2,1,1,555,18,,,2,111,,3,1,1,1,3,1,,,,,,1,,,,,,,2,32,0,1,"01",1,2100,1,0,5,,555,248300502,,
83,6,1305.621,2,24,2,1,1,555,17,,,2,111,,3,1,1,1,3,1,,,,,,1,,,,,,,2,34,0,1,"01",1,1400,1,0,4,,3,248300602,,
83,8,1305.621,2,24,2,1,1,,,,,2,5,,2,1,1,1,3,1,,,,,111,0,,,,,111,,2,12,1,1,"02",1,63000,1,1,4,1,2,248300802,,
83,18,1305.621,2,24,2,1,1,,,2,,1,111,,3,1,1,1,3,0,,,,,111,0,,,,,111,,2,34,0,1,"01",2,,,0,3,,1,248301802,,
84,10,1044.35,2,24,2,1,2,,,,,3,6,,1,1,1,1,1,0,,,,,111,0,,,,,111,,1,,,4,"02",1,30000,1,0,24,,1,248401002,,
84,10,1044.35,2,24,2,1,1,,,,,111,111,,3,0,1,1,3,0,,,,,111,0,,,,,111,,2,888,1,3,"02",1,40000,1,1,2,,1,248401002,,
85,18,176.1393,2,24,1,1,4,555,18,2,,111,111,,1,0,1,0,2,0,,,,,,1,,,,,,,1,,,4,"01",2,,,0,888,,1,248501802,,
85,18,176.1393,2,24,1,1,3,555,18,2,,111,111,,3,0,1,0,2,0,,,,,,1,,,,,,,3,888,0,5,"01",2,,,0,888,,1,248501802,,
85,18,176.1393,2,24,1,1,1,,,,,111,111,,2,0,1,0,1,0,,,,,111,0,,,,,111,,1,,,4,"01",1,130000,0,1,888,,1,248501802,,
85,18,176.1393,2,24,1,1,2,,,,,111,111,,3,1,1,1,4,1,,,,,111,0,,,,,111,,2,888,0,5,"01",1,136000,0,0,888,,1,248501802,,
87,13,1630.48,2,24,2,1,1,,,,,111,111,,1,1,1,1,1,0,,,,,111,0,,,,,111,,1,,,2,"0102",1,35000,1,0,4,,3,248701302,,
87,14,1630.48,2,24,2,1,1,,,,,7,6,,3,1,1,0,2,0,,,,,111,0,,,,,111,,3,888,0,1,"01",1,15000,0,1,5,1,1,248701402,,
90,1,2393.83153777778,2,25,2,1,1,,,2,,6,111,,2,1,3,1,3,1,,,,,111,0,,,,,111,,2,12,1,6,"01",2,,,1,12,,2,259000102,,
91,5,85.1704951111111,2,25,2,3,2,,,,,3,5,,1,0,1,1,4,1,1,,,,,1,,,,,,,3,888,0,1,"02",1,4000,1,1,4,0,1,259100502,,
91,5,85.1704951111111,2,25,2,3,1,,,,,3,2,,2,1,1,1,4,1,1,,,,,1,,,,,,,3,888,0,1,"02",1,4000,1,1,4,,1,259100502,,
91,9,85.1704951111111,2,25,2,3,1,,,,,3,6,,2,1,1,1,3,1,,,,,111,0,,,,,111,,2,888,0,2,"0102",1,85000,1,0,4,,2,259100902,,
93,10,60.3000852631579,2,25,2,3,1,,,,,4,3,,2,1,1,1,3,1,,,,,111,0,,,,,111,,2,888,0,1,"01",1,10000,1,1,12,1,2,259301002,,
94,10,84.76505,2,25,2,3,1,,,,,6,5,,1,1,1,0,1,0,,,,,111,0,,,,,111,,1,,,4,"01",1,74000,1,0,3,1,1,259401002,,
